date,ticker,trend
2025-05-11 00:00:00,AAPL,48
2025-05-18 00:00:00,AAPL,43
2025-05-25 00:00:00,AAPL,37
2025-06-01 00:00:00,AAPL,37
2025-06-08 00:00:00,AAPL,46
2025-06-15 00:00:00,AAPL,29
2025-06-22 00:00:00,AAPL,39
2025-06-29 00:00:00,AAPL,38
2025-07-06 00:00:00,AAPL,39
2025-07-13 00:00:00,AAPL,40
2025-07-20 00:00:00,AAPL,44
2025-07-27 00:00:00,AAPL,73
2025-08-03 00:00:00,AAPL,94
2025-08-10 00:00:00,AAPL,95
2025-08-17 00:00:00,AAPL,76
2025-08-24 00:00:00,AAPL,62
2025-08-31 00:00:00,AAPL,67
2025-09-07 00:00:00,AAPL,90
2025-09-14 00:00:00,AAPL,67
2025-09-21 00:00:00,AAPL,67
2025-09-28 00:00:00,AAPL,59
2025-10-05 00:00:00,AAPL,51
2025-10-12 00:00:00,AAPL,47
2025-10-19 00:00:00,AAPL,60
2025-10-26 00:00:00,AAPL,79
2025-11-02 00:00:00,AAPL,52
2025-11-09 00:00:00,AAPL,51
2025-11-16 00:00:00,AAPL,47
2025-11-23 00:00:00,AAPL,44
2025-11-30 00:00:00,AAPL,49
2025-12-07 00:00:00,AAPL,42
2025-12-14 00:00:00,AAPL,42
2025-12-21 00:00:00,AAPL,31
2025-12-28 00:00:00,AAPL,28
2026-01-04 00:00:00,AAPL,43
2026-01-11 00:00:00,AAPL,41
2026-01-18 00:00:00,AAPL,42
2026-01-25 00:00:00,AAPL,69
2026-02-01 00:00:00,AAPL,57
2026-02-08 00:00:00,AAPL,50
2026-02-15 00:00:00,AAPL,45
2026-02-22 00:00:00,AAPL,53
2026-03-01 00:00:00,AAPL,51
2026-03-08 00:00:00,AAPL,47
2026-03-15 00:00:00,AAPL,100
2026-03-22 00:00:00,AAPL,46
2026-03-29 00:00:00,AAPL,52
2026-04-05 00:00:00,AAPL,50
2026-04-12 00:00:00,AAPL,57
2026-04-19 00:00:00,AAPL,63
2026-04-26 00:00:00,AAPL,65
2026-05-03 00:00:00,AAPL,39
2026-05-10 00:00:00,AAPL,39
2025-05-11 00:00:00,MSFT,37
2025-05-18 00:00:00,MSFT,27
2025-05-25 00:00:00,MSFT,25
2025-06-01 00:00:00,MSFT,29
2025-06-08 00:00:00,MSFT,29
2025-06-15 00:00:00,MSFT,26
2025-06-22 00:00:00,MSFT,35
2025-06-29 00:00:00,MSFT,30
2025-07-06 00:00:00,MSFT,31
2025-07-13 00:00:00,MSFT,31
2025-07-20 00:00:00,MSFT,32
2025-07-27 00:00:00,MSFT,70
2025-08-03 00:00:00,MSFT,48
2025-08-10 00:00:00,MSFT,51
2025-08-17 00:00:00,MSFT,48
2025-08-24 00:00:00,MSFT,40
2025-08-31 00:00:00,MSFT,40
2025-09-07 00:00:00,MSFT,42
2025-09-14 00:00:00,MSFT,40
2025-09-21 00:00:00,MSFT,37
2025-09-28 00:00:00,MSFT,36
2025-10-05 00:00:00,MSFT,37
2025-10-12 00:00:00,MSFT,32
2025-10-19 00:00:00,MSFT,35
2025-10-26 00:00:00,MSFT,70
2025-11-02 00:00:00,MSFT,40
2025-11-09 00:00:00,MSFT,35
2025-11-16 00:00:00,MSFT,42
2025-11-23 00:00:00,MSFT,31
2025-11-30 00:00:00,MSFT,34
2025-12-07 00:00:00,MSFT,35
2025-12-14 00:00:00,MSFT,31
2025-12-21 00:00:00,MSFT,22
2025-12-28 00:00:00,MSFT,23
2026-01-04 00:00:00,MSFT,30
2026-01-11 00:00:00,MSFT,35
2026-01-18 00:00:00,MSFT,39
2026-01-25 00:00:00,MSFT,100
2026-02-01 00:00:00,MSFT,85
2026-02-08 00:00:00,MSFT,58
2026-02-15 00:00:00,MSFT,48
2026-02-22 00:00:00,MSFT,61
2026-03-01 00:00:00,MSFT,53
2026-03-08 00:00:00,MSFT,44
2026-03-15 00:00:00,MSFT,77
2026-03-22 00:00:00,MSFT,63
2026-03-29 00:00:00,MSFT,56
2026-04-05 00:00:00,MSFT,55
2026-04-12 00:00:00,MSFT,72
2026-04-19 00:00:00,MSFT,59
2026-04-26 00:00:00,MSFT,79
2026-05-03 00:00:00,MSFT,41
2026-05-10 00:00:00,MSFT,38
2025-05-11 00:00:00,AMZN,49
2025-05-18 00:00:00,AMZN,33
2025-05-25 00:00:00,AMZN,30
2025-06-01 00:00:00,AMZN,33
2025-06-08 00:00:00,AMZN,34
2025-06-15 00:00:00,AMZN,28
2025-06-22 00:00:00,AMZN,36
2025-06-29 00:00:00,AMZN,30
2025-07-06 00:00:00,AMZN,34
2025-07-13 00:00:00,AMZN,35
2025-07-20 00:00:00,AMZN,37
2025-07-27 00:00:00,AMZN,71
2025-08-03 00:00:00,AMZN,56
2025-08-10 00:00:00,AMZN,52
2025-08-17 00:00:00,AMZN,46
2025-08-24 00:00:00,AMZN,41
2025-08-31 00:00:00,AMZN,40
2025-09-07 00:00:00,AMZN,43
2025-09-14 00:00:00,AMZN,42
2025-09-21 00:00:00,AMZN,49
